id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
525063,Android Respond To URL in Intent,<p>I want my intent to be launched when the user goes to a certain url: for example the android market does this with <a href= http://market.android.com/ >http://market.android.com/</a> urls. so does youtube. I want mine to do that too.</p>,525086,1,2,,2009-02-08 02:55:56.867 UTC,65,2016-04-10 03:28:09.653 UTC,2015-08-15 10:24:12.720 UTC,,1529129,Isaac Waller,764272,,1,132,android|url|android-intent|intentfilter|launch,91060
14128723,Eclipse -- Progress windows don't show up any more,<p>I used to see both Building and Cleaning actions in their own separate windows where I could wait for them to complete before continuing. Several weeks ago I must have clicked Run in Background  because now the progress only appears in a small obscured Progress view.</p> <p><img src= http://i.stack.imgur.com/Ik1x8.gif alt= Not so nice. ></p> <p>How do I set the progress of things like Java Build and Clean to appear in a popup dialog again?</p> <p><img src= http://i.stack.imgur.com/PtQsk.gif alt= Nice. ></p>,14128762,1,0,,2013-01-02 20:31:53.523 UTC,4,2013-01-02 20:34:55.003 UTC,,,,user1499731,,,1,13,java|eclipse,4272
20728,What's the best way to create ClickOnce deployments,<p>Our team develops distributed winform apps. We use ClickOnce for deployment and are very pleased with it.</p> <p>However we've found the pain point with ClickOnce is in <em>creating</em> the deployments. We have the standard dev/test/production environments and need to be able to create deployments for each of these that install and update separate from one another. Also we want control over what assemblies get deployed. Just because an assembly was compiled doesn't mean we want it deployed.</p> <p>The obvious first choice for creating deployments is Visual Studio. However VS really doesn't address the issues stated. The next in line is the SDK tool Mage. Mage works OK but creating deployments is rather tedious and we don't want every developer having our code signing certificate and password.</p> <p>What we ended up doing was rolling our own deployment app that uses the command line version of Mage to create the ClickOnce manifest files.</p> <p>I'm satisfied with our current solution but is seems like there would be an industry-wide accepted approach to this problem. Is there?</p>,20806,2,0,,2008-08-21 18:35:04.410 UTC,5,2015-11-30 02:03:49.403 UTC,2015-11-30 02:03:49.403 UTC,,1321,whatknott,1321,,1,13,winforms|deployment|clickonce,2534
6531409,iOS: how to get image dimensions without opening it,<p>In an iOS app I need to provide image filters based on their size (width/height) think of something similar to Large Medium Small in Google images search. Opening each image and reading its dimensions when creating the list would be very performance intensive. Is there a way to get this info without opening the image itself?</p> <p>Damien DeVille answered the question below based on his suggestion I am now using the following code:</p> <pre><code>NSURL *imageURL = [NSURL fileURLWithPath:imagePath]; if (imageURL == nil) return; CGImageSourceRef imageSourceRef = CGImageSourceCreateWithURL((CFURLRef)imageURL NULL); if(imageSourceRef == NULL) return; CFDictionaryRef props = CGImageSourceCopyPropertiesAtIndex(imageSourceRef 0 NULL); CFRelease(imageSourceRef); NSLog(@ %@  (NSDictionary *)props); CFRelease(props); </code></pre>,8731972,2,2,,2011-06-30 07:33:38.647 UTC,4,2014-04-22 17:16:44.230 UTC,2012-01-24 07:37:04.003 UTC,user83950,,user83950,,,1,7,ios4|uikit,2837
593205,action delegate with zero parameters,<p>I see this line in many online examples of using the Action delegate:</p> <pre><code>public event Action MyEvent; </code></pre> <p>But when I try it in my own code I get this error</p> <blockquote> <p>Using the generic type 'System.Action' requires '1' type arguments</p> </blockquote> <p>The documentation certainly describes a form of Action without any type parameter. What am I missing?</p>,593223,2,3,,2009-02-27 01:30:27.723 UTC,6,2012-01-12 01:44:40.020 UTC,2012-01-12 01:44:40.020 UTC,,8677,I. J. Kennedy,8677,,1,21,c#|delegates|action,12377
377901,JAX-WS authentication against a database,<p>I'm implementing a JAX-WS webservice that will be consumed by external Java and PHP clients.</p> <p>The clients have to authenticate with a username and password stored in a database per client.</p> <p>What authentication mechanism is best to use to make sure that misc clients can use it?</p>,459330,3,0,,2008-12-18 13:51:39.913 UTC,6,2012-01-31 09:05:55.413 UTC,2011-09-23 11:31:02.300 UTC,,157762,Gunnar Steinn,33468,,1,4,java|web-services|security,7568
638886,Java Applet z-index on Safari and beyond,<p>A well known problem with Java Applets in webpages is that browsers ignore the z-index of the applet tag vs. other components in the page. No matter how you position and z-index elements in the page applets will draw themselves on top of everything.</p> <p>There is a workaround known as the iframe shim as described here: <a href= http://www.oratransplant.nl/2007/10/26/using-iframe-shim-to-partly-cover-a-java-applet/ rel= nofollow >http://www.oratransplant.nl/2007/10/26/using-iframe-shim-to-partly-cover-a-java-applet/</a>.</p> <p>However this workaround does not work in Safari 3 or 4 in Windows (assuming the same for Mac).</p> <p>Does anyone know a way to make it work in Safari? </p> <p>Does anyone have ideas about how to pressure Sun to fix the underlying problem so we can avoid clumsy shims? Here is a bug report on the issue <a href= http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=6646289 rel= nofollow >http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=6646289</a> notice that it has been open for a year however other bug reports go back many many years.</p> <p>This is so frustrating don't Sun understand that this is the very sort of thing that has marginalized Java as a way of doing cool stuff in the browser? I love you Java but you are not helping your situation...</p>,1393541,3,0,,2009-03-12 14:34:14.220 UTC,4,2013-11-15 05:25:10.380 UTC,2013-11-15 04:47:58.283 UTC,,114029,jwlrs,77244,,1,6,java|html|applet|overlay|z-index,12116
235982,How Code Color is Set in StackOverflow?,<p>The most favorite feature of StackOverflow for me is that it can automatically detect code in post and set appropriate color to the code.</p> <p>I'm wondering how the color is set. When I do a <kbd>Ctrl</kbd>+<kbd>F5</kbd> on a page the code seems first be black text then change to be colorful. Is it done by jQuery?</p>,236062,3,0,,2008-10-25 06:03:40.023 UTC,10,2014-02-22 22:42:36.880 UTC,2014-02-22 22:42:36.880 UTC,,2581872,Morgan Cheng,26349,,1,12,javascript|syntax-highlighting,1284
687884,What is the correct way of using the Guid type in a XSD file?,<p>I have a .xsd file which I use to generate code with the xsd.exe tool from Visual Studio. Some class members are Guids and the xsd.exe tool gives 2 warnings:</p> <p>Namespace '<a href= http://microsoft.com/wsdl/types/ >http://microsoft.com/wsdl/types/</a>' is not available to be referenced in this schema. Type '<a href= http://microsoft.com/wsdl/types/:guid >http://microsoft.com/wsdl/types/:guid</a>' is not declared.</p> <p>The Guid type is recognized because the generated C# file is valid and works. Anyone knows how to get rid of those warnings?</p> <p>What is the correct syntax for the XSD to be validated AND class members being generated as System.Guid?</p>,723045,3,0,,2009-03-26 23:02:47.157 UTC,5,2014-03-17 16:40:07.183 UTC,2009-03-27 17:32:30.967 UTC,Kovey,46832,Kovey,46832,,1,17,xsd|guid|xsd.exe,20808
373234,How can I grab my local changelist and send it to someone else in Perforce?,<p>How can I grab my local changelist and send it to someone else in Perforce? More specifically I would like to send unsubmitted changes from a local pending changelist to another user's pending changelist.</p>,373434,3,1,,2008-12-17 00:04:08.087 UTC,4,2015-10-19 23:35:57.083 UTC,2015-10-19 23:35:57.083 UTC,,46869,WJ B,46869,,1,13,perforce,5995
11318,Simple animation in WinForms,<p>Imagine you want to animate some object on a WinForm. You setup a timer to update the state or model and override the paint event of the Form. But from there what's the best way to continually repaint the Form for the animation?</p> <ul> <li>Invalidate the Form as soon as you are done drawing?</li> <li>Setup a second timer and invalidate the form on a regular interval?</li> <li>Perhaps there is a common pattern for this thing?</li> <li>Are there any useful .NET classes to help out?</li> </ul> <p>Each time I need to do this I discover a new method with a new drawback. What are the experiences and recommendations from the SO community?</p>,11404,3,0,,2008-08-14 16:44:42.060 UTC,9,2012-06-19 09:20:49.857 UTC,,,,Chris Smith,322,,1,18,.net|winforms|animation,14991
520030,Why is there no Linq method to return distinct values by a predicate?,<p>I want to get the distinct values in a list but not by the standard equality comparison.</p> <p>What I want to do is something like this:</p> <pre><code>return myList.Distinct( (x y) =&gt; x.Url == y.Url ); </code></pre> <p>I can't there's no extension method in Linq that will do this - just one that takes an <code>IEqualityComparer</code>.</p> <p>I can hack around it with this:</p> <pre><code>return myList.GroupBy( x =&gt; x.Url ).Select( g =&gt; g.First() ); </code></pre> <p>But that seems messy. It also doesn't quite do the same thing - I can only use it here because I have a single key.</p> <p>I could also add my own:</p> <pre><code>public static IEnumerable&lt;T&gt; Distinct&lt;T&gt;( this IEnumerable&lt;T&gt; input Func&lt;TTbool&gt; compare ) { //write my own here } </code></pre> <p>But that does seem rather like writing something that should be there in the first place.</p> <p>Anyone know why this method isn't there?</p> <p>Am I missing something?</p>,520046,3,0,,2009-02-06 11:51:53.150 UTC,15,2010-10-08 18:29:26.863 UTC,,,,Keith,905,,1,42,c#|linq|distinct,10620
15301999,Python 2.x - default arguments with *args and **kwargs,<p>In <strong>Python 2.x</strong> (I use 2.7) which is the proper way to use default arguments with <code>*args</code> and <code>**kwargs</code>?<br> I've found a question on SO related to this topic but that is for <strong>Python 3</strong>:<br> <a href= http://stackoverflow.com/questions/9872824/calling-a-python-function-with-args-kwargs-and-optional-default-arguments >Calling a Python function with *args**kwargs and optional / default arguments</a></p> <p>There they say this method works:</p> <pre><code>def func(arg1 arg2 *args opt_arg='def_val' **kwargs): #... </code></pre> <p>In 2.7 it results in a <code>SyntaxError</code>. Is there any recommended way to define such a function?<br> I got it working this way but I'd guess there is a nicer solution.</p> <pre><code>def func(arg1 arg2 *args **kwargs): opt_arg ='def_val' if kwargs.__contains__('opt_arg'): opt_arg = kwargs['opt_arg'] #... </code></pre>,15302042,3,5,,2013-03-08 19:43:12.830 UTC,8,2016-02-08 17:38:03.910 UTC,,,,user1563285,,,1,31,python|python-2.7,7299
216694,Structuring a winforms C# solution,<p>So i am reorganizing a winforms C# solution to help decouple and make it cleaner and more organized. The solution tracks a small business ordersetc . .</p> <p>I have broken out the projects so far into</p> <p><strong>App.View</strong> - all GUI Related Code<br /> <strong>App.Data</strong> - just data structures and interfaces. No other implementation code<br /> <strong>App.BusinessLogic</strong> - all business logic code that has no GUI references</p> <p>I have some classes that i can't figure out where they belong. Please let me know your thoughts which project each class should go or if there is another project that should get created for this.</p> <ol> <li>A Class that retrieves user preferences from a database</li> <li>A Class that retrieves static data from our static data server and returns sets of data results.</li> <li>A Class that brings down user entitlements</li> <li>A model class that stores a hashtable of orders</li> <li>A class that emails out messages on a user action</li> </ol>,216736,4,0,,2008-10-19 17:20:19.207 UTC,5,2008-10-20 00:04:11.887 UTC,2008-10-19 17:26:12.220 UTC,akantro,4653,akantro,4653,,1,6,c#|winforms|model-view-controller|mvp|projects,2873
395321,Is it Possible to Make a Generic Control in .Net 3.5?,<p>I've got the following Generic usercontrol declared:</p> <pre><code>public partial class MessageBase&lt;T&gt; : UserControl { protected T myEntry; public MessageBase() { InitializeComponent(); } public MessageBase(T newEntry) { InitializeComponent(); myEntry = newEntry; } } } </code></pre> <p>But the compiler won't allow me to do this:</p> <pre><code>public partial class MessageControl : MessageBase&lt;Post&gt; { public MessageControl() { InitializeComponent(); } } </code></pre> <p>How do I create a generic user control in C#?</p>,395446,4,0,,2008-12-27 19:32:45.660 UTC,5,2010-11-29 12:57:56.623 UTC,2010-11-29 12:57:56.623 UTC,Roberto Bonini,16587,Roberto Bonini,5648,,1,9,c#|.net|winforms|generics|user-controls,5716
125632,Is it possible to link to a bookmark within a PDF using URL parameters?,<p>When providing a link to a PDF file on a website is it possible to include information in the URL (request parameters) which will make the PDF browser plugin (if used) jump to a particular bookmark instead of just opening at the beginning?</p> <p>Something like: <a href= http://www.somehost.com/user-guide.pdf?bookmark=chapter3 >http://www.somehost.com/user-guide.pdf?bookmark=chapter3</a> ?</p> <p>If not a bookmark would it be possible to go to a particular page?</p> <p>I'm assuming that if there is an answer it may be specific to Adobe's PDF reader plugin or something and may have version limitations but I'm mostly interested in whether the technique exists at all.</p>,125650,4,0,,2008-09-24 06:02:15.363 UTC,18,2016-01-14 01:03:11.733 UTC,2012-07-17 05:54:57.613 UTC,,11343,Chris Carruthers,1119,,1,64,url|pdf|hyperlink|bookmarks,66619
927806,SVN checkout the contents of a folder not the folder itself,<p>I'm fairly new to linux and svn. I'm trying to checkout the trunk folder of a project into my public_html directory using this command (while in public_html):</p> <pre><code>svn checkout file:///home/landonwinters/svn/waterproject/trunk </code></pre> <p>The waterproject directory contains the files from untarring a base install of drupal.</p> <p>It checks out fine except all the files are in <code>public_html/trunk</code> instead of just being in <code>public_html</code>.</p> <p>I don't know the command to move all the contents of trunk up to public_html and rm trunk but I think I could figure that out relatively easily. I just want to know if I can just check out the contents of a folder without the folder itself.</p>,927821,4,0,,2009-05-29 19:48:14.477 UTC,30,2016-04-29 19:58:23.617 UTC,2011-09-13 09:02:22.333 UTC,,400925,user114518,,,1,112,linux|svn|checkout,78376
335279,Windows/.NET way to monitor/debug the serial port?,<p>I have an application which is .NET 2.0 running on Windows XP Professional. This app uses the Serial Port to communicate with some custom devices.</p> <p>For some reason a few of our custom built PCs have an issue with the Serial Port where it will stop functioning after a few weeks of use. Other that auto-reboots which won't work in my scenario are there any utilities out there which can debug/diagnose the serial port? Is there any .NET library which can help with this (can I write my own utility to debug the port)?</p> <p>Also has anyone had any experience with the following library: <a href= http://www.sax.net/commstudio rel= nofollow >Sax CommStudio</a></p>,335545,4,0,,2008-12-02 20:19:14.927 UTC,4,2011-09-08 13:28:06.177 UTC,,,,pearcewg,24126,,1,4,.net|windows|serial-port|lockup,4336
